Data;precip
1962-02-01 00:00:00;208.6925048828125
1962-03-01 00:00:00;220.13270568847656
1962-04-01 00:00:00;174.55517578125
1962-05-01 00:00:00;137.5383758544922
1962-06-01 00:00:00;74.95938110351562
1962-07-01 00:00:00;56.50494384765625
1962-08-01 00:00:00;46.29426956176758
1962-09-01 00:00:00;79.19757080078125
1962-10-01 00:00:00;116.74143981933594
1962-11-01 00:00:00;160.4093475341797
1962-12-01 00:00:00;231.55593872070312
1963-01-01 00:00:00;206.081787109375
1963-02-01 00:00:00;223.5582275390625
1963-03-01 00:00:00;201.97035217285156
1963-04-01 00:00:00;154.47146606445312
1963-05-01 00:00:00;101.99895477294922
1963-06-01 00:00:00;69.89442443847656
1963-07-01 00:00:00;43.370243072509766
1963-08-01 00:00:00;36.80991744995117
