;0;1;2;3;4;5;6
1963-04-01;-0.8238659055040338;-0.20030300386478095;-0.3541099897192618;0.20888194552157563;-0.18159913622211044;0.3144080100590036;-0.12640140506649303
1963-05-01;-0.8518473481086578;-0.23576277007995688;-0.36830949548289804;0.11016612058782893;-0.23125049492997274;-0.016280940315318626;-0.31028615445913793
1963-06-01;-0.8295438059059618;-0.25637909642867374;-0.3821825436771403;0.07219679036168092;-0.3330428943232777;-0.040008983832040323;-0.31408492552492456
1963-07-01;-0.8896286227957642;-0.2666190303207154;-0.39013512271339246;0.059609341776277636;-0.3517606377295409;-0.19004931070520475;-0.36819648924721127
1963-08-01;-0.8657284502612254;-0.2878124308381401;-0.4061472983585607;0.046329843424369965;-0.41844122971266656;-0.25375233733318636;-0.43668154546907323
1963-09-01;-0.861200060966234;-0.47785179079945106;-0.5145320892911478;0.02145207575071517;-0.6604914546765248;-0.29508525766306415;-0.5003118579062112
1963-10-01;-0.6942903593771608;-0.5518244907255088;-0.7508897128707555;-0.000581762681809872;-1.0290407246778865;-0.3409802973363002;-0.5816590680186067
1963-11-01;-0.21366177972406825;-0.5923212854036974;-0.9468531275767225;-0.10468388361898251;-0.9693208936737161;-0.4883000892879038;-0.6080401976096613
1963-12-01;-0.15885637557470544;-0.6617216459248709;-1.215792952184904;0.2247496510903746;-2.412016589506783;-0.38036806283086505;-0.5452627002073901
1964-01-01;-0.8269238456579958;-0.5850379778155693;0.12186083201711384;0.7715904747137091;-1.8489158369464271;-0.5528272883458311;-0.38186000264087566
1964-02-01;-0.5463541911344802;-0.5129225237646355;0.2441713034197553;0.8940538181094722;-1.511275236198115;-0.9009731553760607;-0.32458228365584546
1964-03-01;-0.7163177532205941;-0.3497833208302247;0.4756990025797832;0.8525593600722605;-1.3905252856259407;-0.6663508625267798;-0.24000154862122702
1964-04-01;-0.4233461015773273;-0.4482381850702811;0.4743409824676728;1.1367142349201673;-1.3383890029349828;-0.5546121203419967;-0.28358539794932147
1964-05-01;-0.5153171301435582;-0.28022487483676994;0.5297287745277787;1.4172919658557357;-1.210597228326155;-0.3690571138948554;-0.16911070332911748
1964-06-01;-0.4141581084260663;-0.20273000640886324;0.5355194330063053;1.441349434379951;-1.1983571229780134;-0.4745755903981423;-0.08501552076616445
1964-07-01;-0.28660964481960294;-0.1507463244273694;0.5900205022750261;1.4815204768799919;-1.0766802985204549;-0.35773561741944343;-0.017228043141160776
1964-08-01;-0.09247180097408386;-0.08928170435292337;0.6593599778945571;1.5316496481659043;-1.0328634250581488;-0.24385701304306776;0.041946445449578915
1964-09-01;-0.21467537669207526;-0.009746742787481277;0.7188953665367328;1.5865588851154158;-0.8681799084636025;-0.1927209518068177;0.11328393436347346
1964-10-01;-0.560361233959761;0.3067839159514616;1.0038424099505154;1.6826369840159072;-0.3788748984802906;-0.09901184337188246;0.23779714920165365
1964-11-01;-0.9983621286245101;0.36174975397373405;1.37346120835675;1.5778149035866509;-0.1869115564604778;-0.23869052484343117;0.12439350988052766
1964-12-01;-0.877143067789446;0.30748668898194154;1.2273464646760162;1.1363562540153391;0.3263230638257679;-0.21764146158848796;-0.04279908674890953
1965-01-01;-0.5477070122296464;0.36594396174586125;0.331893307656818;0.625455369469598;0.2520552232520116;0.027380618472480966;-0.12956975555645964
1965-02-01;-0.7015552209365252;0.32042420233556773;0.08181634914333372;0.13172731306046118;0.19477815544063923;-0.03692737841227912;-0.2719024116237835
1965-03-01;-0.7808207234558249;0.6151834525191224;0.3561187042764865;0.29552388193579116;0.5020981670604916;-0.04227487187176837;-0.11380241590586387
1965-04-01;-0.6511037217550747;0.8088772765157015;0.47405160427465165;0.4245422031472773;0.6942752517436729;-0.20742504389669555;-0.09611606989352525
1965-05-01;-0.34146370450439695;0.6679046474465915;0.3920854766030788;0.11579097571281403;0.7314347794981086;-0.23445882204718016;-0.21030545234625342
1965-06-01;-0.3432623648685874;0.6293307097423718;0.43466464526076554;0.17789455141850016;0.7771439652111906;-0.2614503254743141;-0.2033042592752928
1965-07-01;-0.22902469075415194;0.631095042104527;0.4161306396517619;0.16017645785803905;0.8330376738092575;-0.3887807876118032;-0.13748067735006253
1965-08-01;-0.13306344339063936;0.6284443299691925;0.3577441055684718;0.11134822820467;0.8205320829974383;-0.5026706287087298;-0.11610509245696632
1965-09-01;0.12994221801331382;0.6377199001121873;0.3429086106443828;0.06342274059748126;0.863904433473141;-0.5517093049647753;-0.10901822088364502
1965-10-01;0.3462239688059426;0.5435698313185732;0.5511054793339981;0.03682778079314464;0.9156633678154065;-0.5958943577788811;-0.19993578199682988
1965-11-01;0.33971142773607665;0.5776103128804183;0.3812259563069957;0.0447684365576875;0.7886420465534616;-0.602656672696005;0.06014719383389508
1965-12-01;0.6731533936716707;0.5684856472445274;0.014956039531381027;-0.02295271498719162;0.7450131788872355;-0.9489834765571245;0.24214814899818957
1966-01-01;0.6448932968081706;0.48015262693775923;0.22370518532382516;-0.13705664732401446;0.7277747227596643;-1.2957491075773861;0.2684779368900514
1966-02-01;0.8065929314160107;0.5358987505619621;0.5165018117986602;0.17855979724932233;0.6303487296130488;-1.2957457291505086;0.32147300587142297
1966-03-01;0.9958315797393111;0.14649884007796254;0.26888758498446974;-0.27545776004464384;0.5109694968863259;-1.24892162627663;0.05194878187028401
1966-04-01;0.7214652695647411;0.0874559092725837;0.3963982591614309;-0.5831374721783965;0.32564378066861427;-1.1162060809809522;-0.009131070756191163
1966-05-01;0.5684102547033737;0.20733174656205094;0.4382772181346943;-0.5051078131280888;0.424747822680335;-1.1747522955281802;0.08667562740923981
1966-06-01;0.711974501185411;0.2095694158934494;0.39388005810048043;-0.5521998040651883;0.3630038346499921;-1.022470501304761;-0.011334417858902213
1966-07-01;0.6797505511350228;0.1634645284356326;0.42481548211451825;-0.4679859673226619;0.22762471441475068;-0.7407836150578616;-0.12493506904688559
1966-08-01;0.5467653884234156;0.1309698716231711;0.4154268459344434;-0.4492830460626962;0.24957406488743422;-0.6228130459122926;-0.17431651441853052
1966-09-01;0.29604265233255617;0.165443467407484;0.4716565010560169;-0.39109812175411834;0.15056774896462968;-0.3924123746779383;-0.24058229144824617
1966-10-01;0.4092483235450931;0.024536265142549224;0.10028773604621691;-0.43932185499642173;0.030111672156257846;-0.4769552958677442;-0.29549820719321646
1966-11-01;0.30475786726259374;0.012546133569237297;-0.007596016847914652;-0.25167923463259134;-0.0269571794416828;-0.20781598397760803;-0.4935905093934075
1966-12-01;-0.019563409112973357;-0.030610698200155613;0.48508160960803287;0.01086018935157191;-0.0036630390499270433;-0.03899808156926833;-0.5643822411595879
1967-01-01;0.07588167875261675;-0.062027732164589545;0.1378985695104273;0.03692604261715697;-0.026835242380228642;0.2727375590651604;-0.3849984283880128
